postal_code,kode_wilayah_concat,kode_provinsi,kode_kota_kabupaten,kode_kecamatan,kode_kelurahan
42176,3604342004,36,4,34,2004
42260,3601122013,36,1,12,2013
42284,3601022009,36,1,2,2009
42265,3601092006,36,1,9,2006
42276,3601312007,36,1,31,2007
42351,3602252003,36,2,25,2003
42181,3604352001,36,4,35,2001
15730,3603052009,36,3,5,2009
42264,3601282003,36,1,28,2003
42284,3601022006,36,1,2,2006
42278,3601142004,36,1,14,2004
15810,3603171006,36,3,17,1006
42395,3602282003,36,2,28,2003
42261,3601172011,36,1,17,2011
42178,3604252009,36,4,25,2009
42390,3602022009,36,2,2,2009
15226,3674031006,36,74,3,1006
42260,3601122014,36,1,12,2014
42362,3602062001,36,2,6,2001
42263,3601162005,36,1,16,2005
15811,3603281001,36,3,28,1001
42354,3602082005,36,2,8,2005
42193,3604132006,36,4,13,2006
42177,3604262001,36,4,26,2001
42362,3602062007,36,2,6,2007
42278,3601142005,36,1,14,2005
42282,3601052009,36,1,5,2009
42177,3604262004,36,4,26,2004
42397,3602162017,36,2,16,2017
42160,3604332007,36,4,33,2007
42193,3604132011,36,4,13,2011
42396,3602212004,36,2,21,2004
15131,3671081005,36,71,8,1005
42381,3602232009,36,2,23,2009
15138,3671091001,36,71,9,1001
42162,3673061011,36,73,6,1011
15710,3603182011,36,3,18,2011
42284,3601022001,36,1,2,2001
15510,3603132009,36,3,13,2009
42352,3602152001,36,2,15,2001
42193,3604132009,36,4,13,2009
15419,3674051003,36,74,5,1003
42167,3604312001,36,4,31,2001
42371,3602122006,36,2,12,2006
42273,3601232004,36,1,23,2004
42191,3673021011,36,73,2,1011
42184,3604112003,36,4,11,2003
42196,3604182004,36,4,18,2004
42443,3672081001,36,72,8,1001
42183,3673031008,36,73,3,1008
42178,3604252001,36,4,25,2001
42173,3604222012,36,4,22,2012
42272,3601152007,36,1,15,2007
42179,3604242001,36,4,24,2001
42390,3602022018,36,2,2,2018
15141,3671051010,36,71,5,1010
15532,3603102007,36,3,10,2007
42184,3604112013,36,4,11,2013
42265,3601092001,36,1,9,2001
42195,3604172003,36,4,17,2003
42163,3604282013,36,4,28,2013
15139,3671091004,36,71,9,1004
42271,3601262003,36,1,26,2003
42265,3601092013,36,1,9,2013
42271,3601262010,36,1,26,2010
42182,3604092001,36,4,9,2001
42168,3604292002,36,4,29,2002
42287,3601272005,36,1,27,2005
42193,3604132008,36,4,13,2008
42192,3604122012,36,4,12,2012
42280,3601352006,36,1,35,2006
15570,3603152007,36,3,15,2007
42394,3602192002,36,2,19,2002
15310,3674011006,36,74,1,1006
42279,3601302001,36,1,30,2001
42280,3601352005,36,1,35,2005
42391,3602012019,36,2,1,2019
42176,3604342003,36,4,34,2003
42454,3604072005,36,4,7,2005
42185,3604162003,36,4,16,2003
42172,3604192003,36,4,19,2003
42171,3673041008,36,73,4,1008
42175,3604232009,36,4,23,2009
42181,3604352003,36,4,35,2003
42168,3604292003,36,4,29,2003
15612,3603272005,36,3,27,2005
15417,3674061001,36,74,6,1001
42275,3601112001,36,1,11,2001
42254,3601322003,36,1,32,2003
42353,3602102001,36,2,10,2001
42276,3601312004,36,1,31,2004
42266,3601242009,36,1,24,2009
42312,3602142021,36,2,14,2021
15134,3671021001,36,71,2,1001
42284,3601022005,36,1,2,2005
42394,3602192017,36,2,19,2017
42277,3601072007,36,1,7,2007
42351,3602252001,36,2,25,2001
15129,3671101005,36,71,10,1005
42352,3602152004,36,2,15,2004
42393,3602032006,36,2,3,2006
42185,3604162001,36,4,16,2001
42280,3601352001,36,1,35,2001
15811,3603281005,36,3,28,1005
42391,3602012003,36,2,1,2003
15415,3674061007,36,74,6,1007
42278,3601142006,36,1,14,2006
42283,3601012005,36,1,1,2005
42286,3601042011,36,1,4,2011
15820,3603202002,36,3,20,2002
42354,3602082008,36,2,8,2008
42167,3604312006,36,4,31,2006
42395,3602282007,36,2,28,2007
42372,3602042014,36,2,4,2014
42213,3601251003,36,1,25,1003
15521,3603302005,36,3,30,2005
42250,3601332009,36,1,33,2009
42277,3601072004,36,1,7,2004
42276,3601312009,36,1,31,2009
42264,3601282010,36,1,28,2010
15125,3671041003,36,71,4,1003
42267,3601292003,36,1,29,2003
42267,3601292001,36,1,29,2001
42265,3601092009,36,1,9,2009
42161,3604052004,36,4,5,2004
42177,3604262002,36,4,26,2002
42162,3673061012,36,73,6,1012
42162,3673061006,36,73,6,1006
15550,3603072008,36,3,7,2008
42168,3604292005,36,4,29,2005
42362,3602062008,36,2,6,2008
15520,3603162015,36,3,16,2015
15227,3674031008,36,74,3,1008
